Module	Annotation
PHA	K01895
PHA	K00925
PHA	K00625
PHA	K00626
PHA	K00023
PHA	K03821
PolyP	K00937
PolyP	K02040
PolyP	K02037
PolyP	K02038
PolyP	K02036
PolyP	K07636
PolyP	K03306
Glyco	K00700
Glyco	K00688
Glyco	K00703
Glyco	K01214
Glyco	K15778
Glyco	K00975
Glyco	K00845
TCArevA	K00024
TCArevB	K01676
TCArevC	K01779
TCArevD	K01677
TCArevD	K01678
TCArevE	K00239
TCArevE	K00240
TCArevE	K00241
TCArevE	K00242
TCArevF	K00244
TCArevF	K00245
TCArevF	K00246
TCArevF	K00247
TCArevG	K18556
TCArevG	K18557
TCArevG	K18558
TCArevG	K18559
TCArevG	K18560
TCArevH	K01902
TCArevH	K01903
TCArev	K00024
TCArev	K01676
TCArev	K00239
TCArev	K00240
TCArev	K00241
TCArev	K00242
TCArev	K01902
TCArev	K01903
