Node;L2;L3;L4;L5
M00001;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]
M00002;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]
M00003;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]
M00307;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010 map00020 map00620 map01200 map01100]
M00009;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
M00010;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020 map01200 map01210 map01230 map01100]
M00011;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]
M00004;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120]
M00006;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]
M00007;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]
M00580;KEGG - Module;Carbohydrate metabolism;Central carbohydrate metabolism; Pentose phosphate pathway, archaea, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]
